Project,Bug_id,Average_coverage_buggy_files,Average_coverage_stack_trace_files,Average_all_files_coverage,Average_buggy_methods_coverage,Average_st_methods_coverage,Pos_first_buggy_method_in_stack_trace
Cli,14,70.19607843137256,65.29481612129085,62.08842249608321,95.65217391304348,89.5807436180107,5
Cli,5,62.5,57.91666666666667,51.02650005415096,62.5,60.57692307692307,1
Cli,7,N/A,N/A,58.93268859995346,N/A,N/A,
Closure,106,57.42690058479532,N/A,55.13374782358957,35.714285714285715,N/A,
Closure,125,64.43202979515829,64.54754928628073,61.20536247556495,87.82051282051282,77.18930684538556,9
Closure,143,57.449355980807155,N/A,57.64431141932968,56.99949851735566,N/A,
Closure,152,69.90893066980024,61.37103026126093,58.27729973331367,77.08978328173374,69.16244828144141,8
Closure,2,66.20416253716552,67.55392479171367,60.3064702025618,54.54545454545455,76.436320435213,1
Closure,34,74.09924026590693,49.895656331047114,59.56327453814254,81.0,60.244989578322915,
Closure,37,66.25346198516931,56.53731494378061,59.490256638245285,84.8076923076923,76.6735037315253,2
Closure,55,63.84976525821596,59.81283532026964,58.78094442091369,70.0,70.37183715736208,
Codec,8,74.48412698412699,74.48412698412699,68.18374334752167,90.82070707070707,89.28571428571428,1
Collections,28,N/A,52.698412698412696,49.048912501582116,N/A,90.9090909090909,
Compress,1,46.568627450980394,50.93457943925234,51.1831469406153,57.465201465201474,69.12225705329155,
Compress,12,60.0,66.65227201991908,54.93181236268829,65.71428571428571,72.68971224853578,4
Compress,14,78.33333333333333,66.99074074074075,54.92782557171241,84.84848484848484,81.6815210932858,29
Compress,17,66.21621621621621,61.70092247936559,54.80107384395837,82.14285714285714,41.07142857142857,1
Compress,18,68.96551724137932,68.96551724137932,54.80285615911447,85.18518518518519,70.60285393618727,2
Compress,23,45.22292993630573,61.46038583146222,54.173494099404415,66.66666666666667,66.56384645515081,1
Compress,24,66.3677130044843,64.20059785564102,54.33046322998058,82.75862068965517,79.54382183908046,1
Compress,27,66.36363636363636,64.15929755610661,54.06300772648709,84.61538461538461,80.00801282051282,3
Compress,31,66.66666666666667,64.92537313432835,53.408489136750575,86.95652173913044,93.75,
