Project,Map modifiedOchiai1.0,MRR modifiedOchiai1.0,Map modifiedOchiai1.1,MRR modifiedOchiai1.1,Map modifiedOchiai2.0,MRR modifiedOchiai2.0,Map modifiedOchiai2.1,MRR modifiedOchiai2.1,Map modifiedOchiai2.2,MRR modifiedOchiai2.2,Map modifiedOchiai3.0,MRR modifiedOchiai3.0,Map modifiedOchiai3.1,MRR modifiedOchiai3.1,Map modifiedOchiai3.1.1,MRR modifiedOchiai3.1.1,Map modifiedOchiai3.2,MRR modifiedOchiai3.2,Map modifiedOchiai4.0,MRR modifiedOchiai4.0,Map modifiedOchiai4.1,MRR modifiedOchiai4.1,Map modifiedOchiai4.2,MRR modifiedOchiai4.2,Map modifiedOchiai5.0,MRR modifiedOchiai5.0,Map modifiedOchiai5.1,MRR modifiedOchiai5.1,Map originalOchiai,MRR originalOchiai,Map Stack Traces,MRR Stack Traces
Cli,0.05067567567567568,0.05067567567567568,0.05176767676767677,0.05176767676767677,0.11904761904761903,0.11904761904761903,0.13194444444444445,0.13194444444444445,0.042270531400966184,0.042270531400966184,0.04013377926421405,0.04013377926421405,0.08421052631578947,0.08421052631578947,0.38095238095238093,0.38095238095238093,0.08421052631578947,0.08421052631578947,0.12260536398467432,0.12260536398467432,0.1286549707602339,0.1286549707602339,0.1286549707602339,0.1286549707602339,0.2222222222222222,0.2222222222222222,0.39999999999999997,0.39999999999999997,0.003014095492785113,0.003014095492785113,0.39999999999999997,0.39999999999999997
Closure,0.009825250468649372,0.016292787498226238,0.009825019226974072,0.01629232501487564,0.00037243714860859785,0.0004819322254646373,0.0003953705480023654,0.0005016802926441126,0.12535728814880118,0.12564131527055009,0.0003766584516412785,0.0005841533949174305,0.00040932021487635707,0.0006153801618593122,0.14619907840936797,0.16720455805763662,0.0005123897814742664,0.0007629407998715849,0.14082829409253456,0.15647148206823225,0.01595445924107516,0.03160269756266722,0.016007004736630037,0.0316290795278794,0.009829868332880137,0.016291788600374724,0.1267399256434729,0.21895838342135007,0.0006957798802625623,0.001205424374797247,0.17100694444444445,0.2170138888888889
Codec,0.33476628634523375,1.0,0.33476628634523375,1.0,0.3009385351490615,0.3333333333333333,0.3009385351490615,0.3333333333333333,0.3009385351490615,0.3333333333333333,0.34645135566188195,0.3333333333333333,0.35725806451612907,1.0,0.551305683563748,1.0,0.35725806451612907,1.0,0.34645135566188195,0.3333333333333333,0.34645135566188195,0.3333333333333333,0.34645135566188195,0.3333333333333333,0.4161538461538461,1.0,0.6071428571428571,1.0,0.014354066985645933,0.004784688995215311,0.3333333333333333,1.0
Collections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compress,0.14624971154875252,0.1442414375646721,0.15239759190756075,0.15039660376526823,0.24840901954394284,0.3071012321012321,0.24840901954394284,0.3071012321012321,0.11654121414672568,0.17523342670401496,0.09510977362036784,0.1538019861776571,0.14964347349578808,0.20833568605307737,0.3633849797413627,0.3917748917748918,0.14770790906022366,0.2064001216175129,0.1331742875510165,0.19052457615130516,0.13523373680582362,0.192952451306453,0.13502022482760576,0.19273893932823513,0.08482434945918414,0.08484381283235973,0.26304846759392214,0.2656237701692247,0.007935566677269783,0.022986004342784163,0.3213166144200627,0.351619644723093
Csv,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666
Gson,0.00048449612403100775,0.00048449612403100775,0.00048449612403100775,0.00048449612403100775,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.34313725490196073,0.34313725490196073,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3338178294573643,0.3349358974358974,0.3349358974358974,0.0,0.0,0.35294117647058826,0.35294117647058826
JacksonCore,0.07378353703952666,0.09037749567643254,0.07378353703952666,0.09037749567643254,0.029320604313652136,0.04776385931279617,0.029320604313652136,0.04776385931279617,0.023403709309982257,0.025150222949159803,0.021064189563053233,0.03021287959076381,0.027314759213893564,0.039086874532870214,0.1497621431896098,0.1592888471177945,0.028894662338735968,0.03826988106881793,0.04486397108538624,0.04577522294915981,0.03744840774877027,0.043308117686001915,0.04154055838697354,0.042054984853921715,0.04600772079292228,0.059027777777777776,0.13008185012561427,0.14039239482200647,0.06928235307393699,0.08358159549817941,0.25,0.25
JacksonDatabind,0.001060240001605345,0.0035463919989671532,0.001056968212917883,0.0035449710301659757,0.0027792346986429814,0.005153977656339465,0.01891118788609634,0.03160816786788557,0.02134812445368771,0.04244374092301038,0.025232201094918763,0.050069621145616944,0.012228667059759321,0.018142749271655115,0.027052005428620192,0.05785786282832896,0.010644328387921344,0.01500960779781653,0.02275193985594901,0.04514854985469148,0.024202479994037886,0.04918633820116615,0.023793467767524185,0.04688092418189195,0.000998997897797814,0.003488939487294052,0.019416737710161454,0.039517737437669134,0.0004688055860572267,0.0004977358354731923,0.15632716049382717,0.2328042328042328
Jsoup,0.0011466638902841004,0.0013349169023322933,0.0011466638902841004,0.0013349169023322933,0.0014361913544959242,0.002383161051465621,0.0014361913544959242,0.002383161051465621,0.008301721657526228,0.01611422165752623,0.010905888324192894,0.02132255499085956,0.023987063668693843,0.032915635097265264,0.15604418786775046,0.17687752120108377,0.05105651648583337,0.055864208793525674,0.06368789813508346,0.06393789813508347,0.043033047325209225,0.04332374499962783,0.0016468244716601197,0.0019375221460787243,0.0007673937748878365,0.0009651785850144188,0.042894119147882534,0.0431743882061785,0.0,0.0,0.1597222222222222,0.16319444444444445
